id,restaurant_id,star,comment
33,200.0,4.0,"['여기', '맛집', '바게트', '발효', '좋고', '산미', '적당해서', '맛있었어요', '다음', '토종닭', '블랑게트', '맛있더라구요', '양파', '스프', '없고', '여기', '빵집']"
34,200.0,5.0,"['아니', '개맛', '있음', '조만간', '방문', '다시', '방문', '이상', '부모님', '모시', '가도', '좋고', '친구', '가기', '좋고', '데이트', '가기', '좋은', '추천']"
35,200.0,5.0,"['평소', '힘든', '퀄리티', '음식', '디저트', '맛있는']"
36,200.0,5.0,"['참고', '세번', '방문', '정말', '음식', '맛있고', '사장', '친절하십니다', '있었었던', '일임', '참고', '저녁', '예약', '지인', '마지막', '방문', '오픈', '한지', '얼마', '알콜', '있는', '쎄시', '시드르', '혹시', '없는지', '문의', '당시', '여자', '직원', '알콜', '없는건데', '그것', '알콜', '알콜', '모두', '있는', '제품', '입니다', '어이', '없었고', '이후', '기분', '나빠서', '당시', '다른', '직원', '알바생', '친절했고', '오픈', '한지', '얼마', '사장', '친절했습니다', '여자', '직원', '조카', '서비스', '필요', '없지만', '거만한', '태도', '응대', '이간', '지인', '직원', '교육', '안된', '아니냐', '불쾌해']"
37,200.0,5.0,"['서비스', '분위기', '모두', '만족했던']"
38,200.0,5.0,"['프렌치', '가정식', '경험', '좋은', '셰프', '직원', '모두', '친절하시고', '음식', '설명', '자세히', '좋았어요', '가격', '다른', '프렌치', '코스', '저렴한', '많은']"
39,200.0,5.0,"['어니언', '스프', '맛집']"
40,200.0,5.0,['서비스']
41,200.0,5.0,"['맛있게', '스튜', '닭고기', '요리', '맛있었어요', '분위기', '편하고', '좋아요']"
42,200.0,5.0,"['가격', '접객', '박자', '모두', '좋았다', '어중간하게', '프렌치', '가정식', '표방', '식당', '신분', '여기', '가세', '추합니다']"
43,200.0,4.0,"['가야', '이유', '문턱', '낮은', '프렌치', '이유', '주변', '상권', '아쉬운', '블랑케트', '새우', '크랩', '양파', '스프', '에피타이저', '디저트', '메뉴', '구성', '알차서', '프렌치', '가볍게', '좋은', '메뉴', '대체로', '만족스럽고', '짠맛', '있어', '와인', '먹기', '좋은', '자리는', '조금', '불편했고', '서비스', '좋다가', '캐치', '테이블', '예약', '가능']"
44,200.0,5.0,"['에피타이저', '디저트', '여기', '해결', '완벽해요', '프랑스', '가정식', '이름', '있는데', '프랑스', '느낌', '거기', '직원', '친절하시고', '메뉴', '자세히', '설명', '좋았어요', '거기', '와인', '글래스', '아닌', '있어', '좋았습니다', '다음']"
45,200.0,4.0,"['음식', '준수', '직원', '매우', '친절했어요']"
46,200.0,4.0,"['직접', '바게트', '맛있어요', '메인', '요리', '모두', '양도', '적당했습니다', '입구', '있어서', '휠체어', '진입', '어렵네요', '자그마한', '램프', '경사', '하나', '있음', '좋겠어요', '실내', '좁지', '편입']"
47,200.0,5.0,['바게트']
48,200.0,2.0,"['인상', '이진']"
49,200.0,5.0,"['주얼', '프렌치', '식당', '느낌', '부담', '프렌치', '요리', '시도', '최고', '프렌치', '어니언', '오리', '콩피', '기대', '로안', '파스타', '맛있게']"
50,200.0,5.0,"['맛있습니다', '분위기', '여러', '사진', '있듯이', '괜찮구요']"
51,200.0,4.0,"['약간', '애매', '피에르', '기대했던건', '무리']"
52,200.0,4.0,"['이제', '유명해져서', '맛집', '없겠지만', '맛있었습니다', '양파수프', '생토노레', '굉장히', '좋았어요']"
53,200.0,5.0,"['맛있어요', '친절하세요']"
54,200.0,5.0,"['맛있어요', '아기자기한', '인테리어', '이쁘고', '요리', '흠잡을데', '맛있고', '사장', '친절하세요', '쌩또노레', '디저트', '바게트', '직접', '대요', '방문', '의사', '입니다']"
55,73.0,5.0,"['간장게장', '맛있어요']"
56,73.0,1.0,"['브레이크', '타임', '어른', '모시', '시간', '동안', '타고', '브레이크', '타임', '정보', '수정', '하라', '사장', '양반', '손님', '안보', '핸드폰', '장사', '아쉬운게', '없나', '이런거', '하나', '하나', '어떻게']"
57,73.0,3.0,"['가격', '대비', '별로', '반찬', '부실']"
58,73.0,3.0,"['그래요', '굳이']"
59,73.0,1.0,"['개인', '생각', '입니다', '도대체', '이해', '안되는']"
60,73.0,5.0,"['간장', '최고', '파워', '밋집', '선물', '강추']"
61,73.0,2.0,"['있어요', '게장', '요즘', '상향', '평준화', '옛날', '감흥', '없고', '무난', '가격', '생각', '손님', '많아서', '그런지', '미리', '손질', '냉장고', '두시', '같더라고요', '미리', '냉장고', '기만', '음식', '특유', '냉장고', '냄새', '거북했습니다', '서빙', '식당', '미리', '손질', '냉장고', '냄새', '간장게장', '기분', '아리송하더라고요']"
62,73.0,2.0,"['솔직', '후기', '마리', '좋으나', '마리', '아쉬워서', '장점', '감태', '편이', '반찬', '전체', '밑반찬', '가격', '커버', '주인', '친절했음', '외국', '관광객', '그날', '많았음']"
63,73.0,5.0,[]
64,73.0,4.0,"['있는데', '작고', '마리', '아쉬웠음']"
65,73.0,2.0,"['유명', '가격', '생각', '곤란한', '입니다', '간장', '간장', '감칠맛', '부족합니다', '밑반찬', '볼품', '없어', '불만족', '주기', '부족합니다', '매장', '가득', '있는', '따뜻하고', '비릿', '냄새', '다시', '요인', '입니다']"
66,73.0,4.0,"['예약', '오후', '다행히', '자리', '있어서', '바로', '게장', '단지', '반찬', '전체', '그게', '조금', '아쉬었습니다', '게장', '비린내가', '심하게', '작은', '단점', '좀더', '깨끗하게', '좋겠어요']"
67,73.0,5.0,['맛있었어요']
68,73.0,3.0,"['평균', '이상', '보장', '카운터', '서비스', '최악', '손님', '많으니깐', '아쉬울', '없는', '태도', '있네여', '맛있지만', '굳이', '간다']"
69,73.0,1.0,['간장게장']
70,73.0,5.0,"['요즘', '미쳐서', '서산', '근처', '무한리필', '만족', '일단', '통통', '장도', '고소하고', '딱지', '있어서', '만족', '불쾌한', '신선해서', '좋았다', '간장게장', '간장', '계속', '있는데', '그런', '없어서', '굿굿']"
71,73.0,2.0,"['이서', '마리', '마리인', '건데', '가격', '충격', '많긴', '간장게장']"
72,73.0,1.0,"['카운터', '있는', '사람', '마음대로', '운영', '예약', '자기', '마음대로', '순서도', '엉망', '진창', '직원', '불친절하고', '똥파리', '외국인', '가득', '굳이', '이돈']"
73,73.0,5.0,"['방문', '간장게장', '맛집', '여유', '있게', '미리', '예약', '가야', '가격', '사악하지만', '신선하고', '맛있음']"
74,73.0,2.0,"['솔직히', '이정', '서비스', '조금', '아깝습니다']"
75,73.0,5.0,"['정말', '좋아하는', '이제', '예약', '없이는']"
76,73.0,4.0,"['비싸지만', '정말', '맛있어요', '게장', '도둑', '런가', '마포', '경찰서', '바로', '있네요']"
77,73.0,5.0,"['명불허전', '입니다', '외국인', '손님', '모시', '가도', '좋아하시네요', '예약', '힘든게', '감수']"
78,73.0,5.0,"['비싼', '있지만', '맛있어요', '전혀', '비리', '완전', '도둑', '입니다', '조만간']"
79,73.0,5.0,"['간장', '게장', '맛집']"
80,73.0,2.0,"['맛집', '불친절', '각오', '친절하십니다', '비린내', '없고', '맛있는', '간장게장', '가격', '비싸다고', '요즘', '맛있는', '게장', '집도', '있어서', '방문', '같습니다']"
81,73.0,1.0,"['단체', '예약', '이상한', '분산', '예약', '이상한']"
82,73.0,5.0,[]
83,73.0,4.0,"['기대했던', '충족', '가성', '다음', '누가', '동의']"
84,73.0,5.0,['존맛']
85,73.0,5.0,"['맛있어요', '가격', '조금', '항상', '실한', '감태', '계란찜', '충분히', '사이즈', '기만', '별로', '없는', '같아요']"
86,73.0,1.0,"['마리', '참고']"
87,73.0,5.0,"['어렵게', '예약', '실하고', '아현', '간장게장', '맛있고', '감태', '간장', '꿀맛', '심심한', '반찬', '좋았는데', '찌게', '게장', '타격', '없다']"
88,73.0,5.0,"['단골', '간장게장', '맛있어요', '전화', '예약']"
89,73.0,4.0,"['가격', '비싸지만', '정말', '맛있는', '제철', '전화', '연결', '힘들었었는데']"
90,73.0,4.0,"['가끔', '간장게장', '오락가락', '밑반찬', '정갈하고', '적당해서', '계속', '찌개', '애매해요']"
91,73.0,5.0,"['간장게장', '최고', '맛집', '카카오', '후기', '다른', '어플', '후기', '경향', '같음', '이집', '오점', '아니면', '도대체', '어디가', '오점', '미슐랭', '맛집']"
92,73.0,1.0,"['별로', '댜돈', '아까']"
93,73.0,5.0,"['도둑', '예약', '어렵고', '비싸도', '맛있긴']"
94,73.0,5.0,"['맛있어요', '이제', '여수', '간장게장', '있어요', '간장게장', '게장', '백반']"
95,73.0,1.0,[]
96,73.0,2.0,"['비싼지', '감태', '맛남']"
97,73.0,1.0,"['매스컴', '불친절하는', '게장', '특별할것도', '없구만', '호갱', '딱좋은', '식당']"
98,73.0,4.0,"['맛있는데', '비쌈']"
99,73.0,5.0,"['하나로', '승부', '맛집', '입니다']"
100,73.0,5.0,"['비싸서', '슬픈', '가격', '아무런', '불만', '없습니다']"
101,73.0,5.0,"['게장', '진미', '정답']"
102,73.0,5.0,"['최고', '비싸지만', '가끔']"
103,73.0,5.0,"['고소하니', '맛있어요', '예약', '자리', '좋게', '꽃게', '정말', '딱지', '가격', '반찬', '알차게', '게국지', '달걀찜', '누룽지', '생수', '아니고', '인물', '마무리', '좋습니다']"
104,73.0,1.0,"['게장', '의심', '맛있다는', '때문', '포장', '구매', '매장', '차이', '안남', '달랑', '입니다', '처음', '구매', '사실', '매장', '비교', '없지만', '최소한', '공기밥', '하나', '김치', '같은', '최소한', '반찬', '정상', '아닌가', '다시', '환불', '플레인', '귀찮아서', '후기', '처음', '다른', '포장', '구매', '좋은', '상품', '더라도', '아닌거', '같습니다']"
105,73.0,4.0,"['실함', '어른', '실한', '처음', '같은', '간장게장', '다른', '유명', '간장게장', '느낌', '있음', '후기', '짧은', '기간', '가격', '얘기', '많던데', '이번', '오름', '포장', '포장', '밑반찬', '감태', '전혀', '없다는', '생각', '생각', '좁은', '골목', '중간', '있어', '찾기', '어렵고', '주차', '굉장히', '힘든게', '매우']"
